GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JQ5E001,JQ5E002,JQ5E003,JQ5E004,JQ5E005,JQ5E006,JQ5E007,JQ5E008,JQ5E009,JQ5E010,JQ5E011,JQ5E012,JQ5E013,JQ5E014,JQ5E015,JQ5E016,JQ5E017,JQ5E018,JQ5E019,JQ5E020,JQ5E021,JQ5E022,JQ5E023,JQ5E024,JQ5E025,JQ5E026,JQ5E027,JQ5E028,JQ5E029,JQ5E030,JQ5E031,JQ5E032,JQ5E033,JQ5E034,JQ5E035,JQ5E036,JQ5E037,JQ5E038,JQ5E039,JQ5E040,JQ5E041,JQ5E042,JQ5E043,JQ5E044,JQ5E045,JQ5E046,JQ5E047,JQ5E048,JQ5E049,JQ5E050,JQ5E051,JQ5E052,JQ5E053,JQ5E054,JQ5E055,JQ5E056,JQ5E057,JQ5E058,JQ5E059,JQ5E060,JQ5E061,JQ5E062,JQ5E063,JQ5E064,JQ5E065,JQ5E066,JQ5E067,JQ5E068,JQ5E069,JQ5E070,JQ5E071,JQ5E072,JQ5E073,NAME_M,JQ5M001,JQ5M002,JQ5M003,JQ5M004,JQ5M005,JQ5M006,JQ5M007,JQ5M008,JQ5M009,JQ5M010,JQ5M011,JQ5M012,JQ5M013,JQ5M014,JQ5M015,JQ5M016,JQ5M017,JQ5M018,JQ5M019,JQ5M020,JQ5M021,JQ5M022,JQ5M023,JQ5M024,JQ5M025,JQ5M026,JQ5M027,JQ5M028,JQ5M029,JQ5M030,JQ5M031,JQ5M032,JQ5M033,JQ5M034,JQ5M035,JQ5M036,JQ5M037,JQ5M038,JQ5M039,JQ5M040,JQ5M041,JQ5M042,JQ5M043,JQ5M044,JQ5M045,JQ5M046,JQ5M047,JQ5M048,JQ5M049,JQ5M050,JQ5M051,JQ5M052,JQ5M053,JQ5M054,JQ5M055,JQ5M056,JQ5M057,JQ5M058,JQ5M059,JQ5M060,JQ5M061,JQ5M062,JQ5M063,JQ5M064,JQ5M065,JQ5M066,JQ5M067,JQ5M068,JQ5M069,JQ5M070,JQ5M071,JQ5M072,JQ5M073
"G20000109526001","2006-2010",,,"Kansas","20","Allen County","001",,,"952600","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9526, Allen County, Kansas",946,541,155,121,121,0,29,7,22,0,2,2,0,0,0,3,0,3,19,0,8,0,8,3,5,3,48,28,20,163,49,56,58,156,55,53,48,405,150,47,25,22,3,3,0,0,56,14,0,42,0,44,19,25,52,8,0,0,0,24,4,16,125,28,97,6,2,4,0,72,47,0,25,"Block Group 1, Census Tract 9526, Allen County, Kansas",107,68,38,36,36,109,22,6,21,109,4,4,109,109,109,4,109,4,14,109,9,109,9,5,8,4,21,16,16,53,35,27,28,36,21,26,24,63,42,25,17,19,4,4,109,109,24,18,109,18,109,21,16,17,26,8,109,109,109,19,5,13,36,17,31,7,6,5,109,32,30,109,16
"G20000109527001","2006-2010",,,"Kansas","20","Allen County","001",,,"952700","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9527, Allen County, Kansas",521,281,46,33,33,0,5,3,2,0,8,2,0,0,6,0,0,0,9,5,0,0,0,0,4,0,31,29,2,84,2,37,45,111,58,45,8,240,53,0,0,0,7,7,0,0,27,4,0,23,0,19,8,11,83,8,0,0,0,24,46,5,74,26,48,10,0,0,10,20,12,1,7,"Block Group 1, Census Tract 9527, Allen County, Kansas",104,64,28,28,28,109,6,4,4,109,8,4,109,109,7,109,109,109,10,8,109,109,109,109,6,109,25,24,3,33,5,20,28,44,28,31,9,57,26,109,109,109,10,10,109,109,17,6,109,17,109,18,10,15,48,11,109,109,109,22,43,7,42,27,26,11,109,109,11,14,13,2,7
"G20000109527002","2006-2010",,,"Kansas","20","Allen County","001",,,"952700","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9527, Allen County, Kansas",506,270,52,34,31,3,2,0,2,0,14,7,0,0,7,2,2,0,26,0,0,0,0,6,20,0,48,29,19,61,4,24,33,83,17,52,14,236,81,54,54,0,0,0,0,0,18,0,0,18,0,9,7,2,42,10,0,0,0,14,10,8,67,37,30,0,0,0,0,46,35,0,11,"Block Group 2, Census Tract 9527, Allen County, Kansas",108,65,23,19,20,4,3,109,3,109,16,10,109,109,11,3,3,109,23,109,109,109,109,10,20,109,31,27,20,32,9,24,21,28,15,28,19,59,36,36,36,109,109,109,109,109,16,109,109,16,109,12,12,3,26,13,109,109,109,15,14,10,31,25,17,109,109,109,109,34,27,109,17
"G20000109528001","2006-2010",,,"Kansas","20","Allen County","001",,,"952800","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9528, Allen County, Kansas",741,391,136,40,16,24,61,49,12,0,35,0,10,14,11,0,0,0,55,0,22,0,22,33,0,0,12,0,12,110,0,70,40,78,13,48,17,350,115,56,26,30,13,13,0,0,16,0,0,16,0,30,30,0,109,28,7,7,0,12,0,62,74,18,56,0,0,0,0,52,52,0,0,"Block Group 1, Census Tract 9528, Allen County, Kansas",175,107,67,33,25,26,51,48,19,109,35,109,17,23,17,109,109,109,39,109,26,109,26,32,109,109,21,109,21,71,109,54,32,49,20,40,22,88,56,40,30,25,22,22,109,109,19,109,109,19,109,30,30,109,50,32,12,12,109,19,109,36,41,21,40,109,109,109,109,44,44,109,109
"G20000109528002","2006-2010",,,"Kansas","20","Allen County","001",,,"952800","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9528, Allen County, Kansas",711,323,62,42,29,13,0,0,0,0,20,0,0,20,0,0,0,0,52,0,9,9,0,0,43,0,69,56,13,84,14,40,30,56,25,9,22,388,110,32,32,0,0,0,0,0,57,12,0,29,16,21,21,0,100,41,0,0,0,27,16,16,161,91,70,0,0,0,0,17,0,0,17,"Block Group 2, Census Tract 9528, Allen County, Kansas",188,122,34,31,26,21,109,109,109,109,30,109,109,30,109,109,109,109,54,109,16,16,109,109,51,109,58,55,19,52,22,37,30,42,28,14,26,168,53,31,31,109,109,109,109,109,44,20,109,31,27,23,23,109,79,42,109,109,109,32,26,27,92,73,39,109,109,109,109,25,109,109,25
"G20000109528003","2006-2010",,,"Kansas","20","Allen County","001",,,"952800","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9528, Allen County, Kansas",456,226,37,15,15,0,0,0,0,0,22,0,0,12,10,0,0,0,27,0,10,0,10,0,17,0,12,9,3,22,0,0,22,128,85,19,24,230,33,14,0,14,0,0,0,0,11,0,0,11,0,8,0,8,53,13,0,0,0,17,0,23,103,10,93,0,0,0,0,41,41,0,0,"Block Group 3, Census Tract 9528, Allen County, Kansas",122,80,31,23,23,109,109,109,109,109,20,109,109,12,17,109,109,109,29,109,17,109,17,109,23,109,16,15,7,26,109,109,26,70,63,21,27,73,28,22,109,22,109,109,109,109,13,109,109,13,109,11,109,11,37,20,109,109,109,18,109,23,53,15,52,109,109,109,109,28,28,109,109
"G20000109529001","2006-2010",,,"Kansas","20","Allen County","001",,,"952900","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9529, Allen County, Kansas",672,394,140,47,47,0,39,0,39,0,54,22,11,11,10,0,0,0,41,0,0,0,0,33,8,0,0,0,0,0,0,0,0,213,91,47,75,278,157,36,36,0,11,0,11,0,63,28,0,25,10,47,47,0,46,16,0,0,0,11,0,19,52,11,41,0,0,0,0,23,0,0,23,"Block Group 1, Census Tract 9529, Allen County, Kansas",156,114,64,51,51,109,36,109,36,109,35,26,16,17,16,109,109,109,47,109,109,109,109,45,12,109,109,109,109,109,109,109,109,82,62,36,43,66,62,45,45,109,16,109,16,109,36,24,109,24,16,39,39,109,33,16,109,109,109,16,109,20,33,18,29,109,109,109,109,35,109,109,35
"G20000109529002","2006-2010",,,"Kansas","20","Allen County","001",,,"952900","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9529, Allen County, Kansas",303,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,10,10,0,71,0,71,0,60,51,9,0,148,54,0,0,0,0,0,0,0,19,0,0,19,0,35,30,5,52,21,12,0,12,0,0,19,9,0,9,0,0,0,0,33,33,0,0,"Block Group 2, Census Tract 9529, Allen County, Kansas",142,85,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,22,109,109,109,109,109,109,22,17,17,109,57,109,57,109,43,43,15,109,71,47,109,109,109,109,109,109,109,20,109,109,20,109,42,41,10,46,33,18,109,18,109,109,23,13,109,13,109,109,109,109,36,36,109,109
"G20000109529003","2006-2010",,,"Kansas","20","Allen County","001",,,"952900","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9529, Allen County, Kansas",274,133,57,45,45,0,0,0,0,0,12,0,0,5,7,0,0,0,12,0,0,0,0,10,2,0,7,7,0,16,0,9,7,41,30,11,0,141,54,25,10,15,0,0,0,0,5,0,0,5,0,24,24,0,32,6,0,0,0,15,0,11,27,0,27,0,0,0,0,28,16,0,12,"Block Group 3, Census Tract 9529, Allen County, Kansas",92,59,39,36,36,109,109,109,109,109,15,109,109,10,12,109,109,109,17,109,109,109,109,16,4,109,12,12,109,17,109,13,11,34,28,16,109,50,32,28,17,22,109,109,109,109,8,109,109,8,109,27,27,109,25,11,109,109,109,20,109,14,25,109,25,109,109,109,109,28,22,109,14
"G20000109530001","2006-2010",,,"Kansas","20","Allen County","001",,,"953000","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9530, Allen County, Kansas",429,212,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,10,11,0,64,45,19,33,0,25,8,60,40,10,10,217,70,38,21,17,10,0,0,10,12,0,0,12,0,10,0,10,18,18,0,0,0,0,0,0,88,30,58,10,10,0,0,31,31,0,0,"Block Group 1, Census Tract 9530, Allen County, Kansas",124,64,31,31,31,109,109,109,109,109,109,109,109,109,109,109,109,109,23,109,109,109,109,16,17,109,41,41,20,32,109,29,12,35,31,15,14,71,39,32,23,26,16,109,109,16,18,109,109,18,109,16,109,16,18,18,109,109,109,109,109,109,48,28,39,15,15,109,109,42,42,109,109
"G20000109530002","2006-2010",,,"Kansas","20","Allen County","001",,,"953000","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9530, Allen County, Kansas",407,255,26,15,15,0,5,0,5,0,6,0,0,6,0,0,0,0,22,0,8,0,8,14,0,0,39,7,32,36,0,23,13,132,37,76,19,152,48,21,21,0,0,0,0,0,23,0,0,23,0,4,0,4,35,11,0,0,0,11,0,13,48,18,30,7,0,7,0,14,14,0,0,"Block Group 2, Census Tract 9530, Allen County, Kansas",99,75,18,14,14,109,8,109,8,109,9,109,109,9,109,109,109,109,25,109,13,109,13,21,109,109,35,10,36,24,109,20,15,61,28,58,18,48,25,16,16,109,109,109,109,109,19,109,109,19,109,8,109,8,29,12,109,109,109,15,109,19,39,20,32,11,109,11,109,17,17,109,109
"G20000109530003","2006-2010",,,"Kansas","20","Allen County","001",,,"953000","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9530, Allen County, Kansas",260,107,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,74,28,11,35,153,58,18,5,13,0,0,0,0,36,0,0,32,4,4,0,4,29,15,0,0,0,14,0,0,60,30,30,0,0,0,0,6,6,0,0,"Block Group 3, Census Tract 9530, Allen County, Kansas",87,46,14,109,109,109,14,109,109,14,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,33,109,33,109,40,21,14,38,51,41,19,9,16,109,109,109,109,38,109,109,37,7,8,109,8,27,19,109,109,109,19,109,109,44,27,36,109,109,109,109,10,10,109,109
"G20000109530004","2006-2010",,,"Kansas","20","Allen County","001",,,"953000","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9530, Allen County, Kansas",373,194,38,14,14,0,0,0,0,0,20,8,6,6,0,4,0,4,5,0,0,0,0,0,5,0,36,0,36,57,0,37,20,58,36,0,22,179,62,10,10,0,12,0,0,12,23,0,0,18,5,17,5,12,64,10,0,0,0,7,13,34,33,7,26,0,0,0,0,20,13,0,7,"Block Group 4, Census Tract 9530, Allen County, Kansas",87,65,28,20,20,109,109,109,109,109,16,12,9,9,109,6,109,6,8,109,109,109,109,109,8,109,38,109,38,33,109,27,18,33,26,109,21,47,33,18,18,109,18,109,109,18,18,109,109,16,8,16,8,13,41,10,109,109,109,12,15,36,24,11,21,109,109,109,109,20,18,109,12
"G20000309536001","2006-2010",,,"Kansas","20","Anderson County","003",,,"953600","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9536, Anderson County, Kansas",1029,601,173,87,62,25,0,0,0,0,47,0,0,47,0,39,0,39,74,0,7,0,7,0,67,0,49,20,29,201,10,131,60,104,66,15,23,428,161,12,1,11,14,0,14,0,86,0,0,86,0,49,20,29,58,3,0,0,0,50,2,3,192,92,100,0,0,0,0,17,9,0,8,"Block Group 1, Census Tract 9536, Anderson County, Kansas",175,101,84,56,46,30,109,109,109,109,52,109,109,52,109,45,109,45,50,109,11,109,11,109,50,109,39,25,31,88,18,81,44,54,41,21,32,128,61,16,2,16,24,109,24,109,56,109,109,56,109,42,27,33,55,6,109,109,109,54,4,5,97,67,50,109,109,109,109,15,13,109,9
"G20000309536002","2006-2010",,,"Kansas","20","Anderson County","003",,,"953600","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9536, Anderson County, Kansas",467,245,69,31,9,22,20,0,0,20,18,0,0,18,0,0,0,0,25,0,0,0,0,25,0,0,58,49,9,36,0,17,19,57,22,23,12,222,94,21,21,0,20,20,0,0,53,23,0,30,0,0,0,0,66,12,0,0,0,20,0,34,62,8,54,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 9536, Anderson County, Kansas",142,98,51,39,15,37,30,109,109,30,30,109,109,30,109,109,109,109,36,109,109,109,109,36,109,109,49,48,15,37,109,21,30,53,33,38,20,75,52,30,30,109,32,32,109,109,35,21,109,30,109,109,109,109,58,21,109,109,109,34,109,31,47,13,46,109,109,109,109,109,109,109,109
"G20000309536003","2006-2010",,,"Kansas","20","Anderson County","003",,,"953600","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9536, Anderson County, Kansas",329,176,15,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,0,13,0,13,108,0,97,11,17,17,0,0,153,37,0,0,0,0,0,0,0,26,13,0,13,0,11,0,11,0,0,0,0,0,0,0,0,116,66,50,0,0,0,0,0,0,0,0,"Block Group 3, Census Tract 9536, Anderson County, Kansas",144,86,24,24,109,24,109,109,109,109,109,109,109,109,109,109,109,109,35,109,109,109,109,109,35,109,21,109,21,80,109,76,19,27,27,109,109,99,36,109,109,109,109,109,109,109,32,21,109,21,109,18,109,18,109,109,109,109,109,109,109,109,93,76,48,109,109,109,109,109,109,109,109
"G20000309536004","2006-2010",,,"Kansas","20","Anderson County","003",,,"953600","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9536, Anderson County, Kansas",716,372,94,38,25,13,0,0,0,0,32,0,0,32,0,24,0,24,0,0,0,0,0,0,0,0,62,34,28,59,0,59,0,157,44,97,16,344,93,0,0,0,0,0,0,0,65,0,0,65,0,28,28,0,104,0,0,0,0,27,68,9,100,9,91,0,0,0,0,47,0,0,47,"Block Group 4, Census Tract 9536, Anderson County, Kansas",205,142,81,29,22,23,109,109,109,109,37,109,109,37,109,36,109,36,109,109,109,109,109,109,109,109,57,41,42,51,109,51,109,107,63,83,22,99,60,109,109,109,109,109,109,109,49,109,109,49,109,41,41,109,74,109,109,109,109,33,68,14,63,14,62,109,109,109,109,49,109,109,49
"G20000309537001","2006-2010",,,"Kansas","20","Anderson County","003",,,"953700","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9537, Anderson County, Kansas",577,332,127,106,106,0,11,0,9,2,10,0,0,10,0,0,0,0,5,0,5,2,3,0,0,0,37,37,0,91,7,70,14,72,31,32,9,245,136,62,36,26,0,0,0,0,74,0,0,74,0,0,0,0,46,11,0,0,0,15,19,1,34,7,27,12,12,0,0,17,17,0,0,"Block Group 1, Census Tract 9537, Anderson County, Kansas",127,74,62,61,61,109,14,109,14,3,15,109,109,15,109,109,109,109,6,109,6,4,4,109,109,109,30,30,109,50,11,50,14,46,35,35,14,88,73,56,40,38,109,109,109,109,51,109,109,51,109,109,109,109,43,15,109,109,109,22,31,4,19,10,19,18,18,109,109,18,18,109,109
"G20000309537002","2006-2010",,,"Kansas","20","Anderson County","003",,,"953700","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9537, Anderson County, Kansas",485,265,69,49,45,4,6,0,2,4,14,3,3,8,0,0,0,0,13,3,0,0,0,5,3,2,20,17,3,31,3,23,5,132,46,33,53,220,41,12,3,9,0,0,0,0,22,5,0,14,3,7,1,6,98,58,0,0,0,31,2,7,73,25,48,2,0,2,0,6,6,0,0,"Block Group 2, Census Tract 9537, Anderson County, Kansas",99,56,31,26,25,7,7,109,4,6,11,4,5,8,109,109,109,109,9,4,109,109,109,7,5,4,20,20,6,16,7,15,5,53,32,18,27,70,24,12,5,10,109,109,109,109,15,8,109,12,3,9,2,8,60,53,109,109,109,20,3,9,29,22,23,4,109,4,109,7,7,109,109
"G20000309537003","2006-2010",,,"Kansas","20","Anderson County","003",,,"953700","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9537, Anderson County, Kansas",409,238,51,36,34,2,8,8,0,0,7,5,0,2,0,0,0,0,11,0,0,0,0,0,11,0,32,13,19,41,8,33,0,103,58,40,5,171,42,25,25,0,0,0,0,0,13,0,0,13,0,4,4,0,68,30,0,0,0,3,0,35,45,18,27,6,6,0,0,10,8,0,2,"Block Group 3, Census Tract 9537, Anderson County, Kansas",112,77,31,27,26,3,11,11,109,109,9,8,109,4,109,109,109,109,14,109,109,109,109,109,14,109,31,17,24,26,9,24,109,47,39,30,7,53,26,23,23,109,109,109,109,109,12,109,109,12,109,6,6,109,48,29,109,109,109,4,109,37,29,22,18,9,9,109,109,13,12,109,4
"G20000500816001","2006-2010",,,"Kansas","20","Atchison County","005",,,"081600","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 816, Atchison County, Kansas",523,280,77,71,59,12,0,0,0,0,6,0,0,6,0,0,0,0,22,0,7,0,7,10,5,0,28,11,17,80,6,55,19,73,25,8,40,243,89,17,17,0,3,0,3,0,22,3,0,17,2,47,40,7,58,0,2,2,0,7,26,23,81,9,72,10,10,0,0,5,5,0,0,"Block Group 1, Census Tract 816, Atchison County, Kansas",127,78,37,37,33,15,109,109,109,109,7,109,109,7,109,109,109,109,27,109,9,109,9,24,8,109,21,9,18,45,7,40,16,49,18,27,38,71,51,16,16,109,5,109,5,109,20,5,109,20,3,41,40,8,49,109,4,4,109,13,35,20,37,9,35,17,17,109,109,7,7,109,109
"G20000500816002","2006-2010",,,"Kansas","20","Atchison County","005",,,"081600","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 816, Atchison County, Kansas",287,136,47,24,22,2,0,0,0,0,17,9,0,8,0,6,4,2,10,0,10,6,4,0,0,0,13,13,0,27,0,23,4,39,30,2,7,151,56,12,9,3,0,0,0,0,29,6,0,23,0,15,10,5,33,7,0,0,0,9,8,9,46,5,41,10,0,10,0,6,0,0,6,"Block Group 2, Census Tract 816, Atchison County, Kansas",76,42,25,19,19,3,109,109,109,109,15,12,109,8,109,7,6,4,9,109,9,6,7,109,109,109,15,15,109,26,109,26,6,18,16,4,11,47,29,9,8,5,109,109,109,109,23,11,109,19,109,12,10,8,24,11,109,109,109,11,7,17,29,7,28,11,109,11,109,10,109,109,10
"G20000500816003","2006-2010",,,"Kansas","20","Atchison County","005",,,"081600","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 816, Atchison County, Kansas",537,272,77,67,67,0,1,0,0,1,9,9,0,0,0,0,0,0,24,0,1,0,1,0,23,0,30,0,30,95,15,77,3,46,18,21,7,265,69,24,23,1,12,12,0,0,25,3,3,19,0,8,0,8,82,26,0,0,0,30,18,8,68,57,11,0,0,0,0,46,7,0,39,"Block Group 3, Census Tract 816, Atchison County, Kansas",109,60,40,38,38,109,3,109,109,3,13,13,109,109,109,109,109,109,29,109,3,109,3,109,29,109,35,109,35,44,23,48,4,24,14,16,11,78,44,21,20,4,18,18,109,109,29,6,4,29,109,16,109,16,58,32,109,109,109,45,22,9,63,64,12,109,109,109,109,39,9,109,39
"G20000500816004","2006-2010",,,"Kansas","20","Atchison County","005",,,"081600","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 816, Atchison County, Kansas",397,191,57,26,26,0,8,8,0,0,23,9,0,14,0,0,0,0,35,0,23,10,13,0,0,12,30,7,23,32,8,11,13,37,33,0,4,206,101,43,8,35,0,0,0,0,31,0,0,31,0,27,0,27,28,0,0,0,0,0,22,6,68,11,57,9,0,9,0,0,0,0,0,"Block Group 4, Census Tract 816, Atchison County, Kansas",100,56,37,25,25,109,14,14,109,109,24,13,109,20,109,109,109,109,31,109,23,15,18,109,109,20,21,12,21,29,12,16,20,31,30,109,6,61,45,36,12,35,109,109,109,109,24,109,109,24,109,24,109,24,36,109,109,109,109,109,35,9,38,17,34,13,109,13,109,109,109,109,109
"G20000500816005","2006-2010",,,"Kansas","20","Atchison County","005",,,"081600","5",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 816, Atchison County, Kansas",308,182,53,47,30,17,0,0,0,0,6,0,0,6,0,0,0,0,22,0,9,0,9,13,0,0,2,0,2,57,0,9,48,48,9,39,0,126,57,20,7,13,0,0,0,0,31,11,0,11,9,6,6,0,0,0,0,0,0,0,0,0,49,0,49,0,0,0,0,20,20,0,0,"Block Group 5, Census Tract 816, Atchison County, Kansas",91,58,30,29,22,20,109,109,109,109,9,109,109,9,109,109,109,109,24,109,14,109,14,19,109,109,4,109,4,48,109,16,45,29,14,25,109,48,34,20,12,17,109,109,109,109,26,16,109,13,14,10,10,109,109,109,109,109,109,109,109,109,36,109,36,109,109,109,109,22,22,109,109
"G20000500817001","2006-2010",,,"Kansas","20","Atchison County","005",,,"081700","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 817, Atchison County, Kansas",703,458,108,40,34,6,0,0,0,0,68,13,15,24,16,0,0,0,189,0,19,19,0,44,31,95,83,68,15,26,0,18,8,52,10,0,42,245,119,0,0,0,0,0,0,0,66,0,21,32,13,53,31,22,73,0,0,0,0,25,23,25,53,12,41,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 817, Atchison County, Kansas",222,185,72,40,40,24,109,109,109,109,55,22,24,29,28,109,109,109,112,109,31,31,109,54,34,87,72,58,25,34,109,30,13,52,18,109,49,168,84,109,109,109,109,109,109,109,62,109,33,38,21,53,40,38,88,109,109,109,109,41,33,41,60,21,56,109,109,109,109,109,109,109,109
"G20000500817002","2006-2010",,,"Kansas","20","Atchison County","005",,,"081700","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 817, Atchison County, Kansas",1302,673,212,150,150,0,19,19,0,0,33,0,0,33,0,10,10,0,97,0,12,12,0,58,27,0,66,47,19,202,0,87,115,96,62,3,31,629,348,145,110,35,39,9,0,30,112,24,10,73,5,52,52,0,102,0,0,0,0,64,0,38,119,17,102,0,0,0,0,60,60,0,0,"Block Group 2, Census Tract 817, Atchison County, Kansas",239,168,113,104,104,109,31,31,109,109,31,109,109,31,109,19,19,109,75,109,18,18,109,56,34,109,84,60,64,104,109,85,102,73,56,7,44,133,119,95,84,55,38,14,109,36,74,35,17,57,13,53,53,109,82,109,109,109,109,54,109,53,80,21,77,109,109,109,109,73,73,109,109
"G20000500817003","2006-2010",,,"Kansas","20","Atchison County","005",,,"081700","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 817, Atchison County, Kansas",323,159,13,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,32,0,0,0,0,23,9,0,12,0,12,9,0,9,0,93,69,24,0,164,36,0,0,0,0,0,0,0,36,0,0,36,0,0,0,0,82,42,0,0,0,0,18,22,16,16,0,0,0,0,0,30,30,0,0,"Block Group 3, Census Tract 817, Atchison County, Kansas",144,88,21,109,109,109,109,109,109,109,21,109,109,21,109,109,109,109,44,109,109,109,109,42,14,109,20,109,20,15,109,15,109,69,58,43,109,96,44,109,109,109,109,109,109,109,44,109,109,44,109,109,109,109,65,55,109,109,109,109,24,35,27,27,109,109,109,109,109,46,46,109,109
"G20000500817004","2006-2010",,,"Kansas","20","Atchison County","005",,,"081700","4",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 817, Atchison County, Kansas",481,216,21,8,8,0,0,0,0,0,4,0,0,4,0,9,9,0,0,0,0,0,0,0,0,0,50,11,39,124,0,111,13,21,21,0,0,265,159,54,0,54,0,0,0,0,67,25,0,42,0,38,0,38,74,49,0,0,0,25,0,0,32,15,17,0,0,0,0,0,0,0,0,"Block Group 4, Census Tract 817, Atchison County, Kansas",185,94,22,13,13,109,109,109,109,109,9,109,109,9,109,16,16,109,109,109,109,109,109,109,109,109,45,20,41,92,109,89,21,27,27,109,109,152,121,67,109,67,109,109,109,109,51,36,109,36,109,47,109,47,81,74,109,109,109,30,109,109,53,26,28,109,109,109,109,109,109,109,109
"G20000500818001","2006-2010",,,"Kansas","20","Atchison County","005",,,"081800","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 818, Atchison County, Kansas",464,216,51,34,17,17,7,7,0,0,10,0,0,0,10,0,0,0,31,0,12,12,0,19,0,0,0,0,0,84,0,84,0,50,48,0,2,248,111,0,0,0,16,0,0,16,40,0,0,40,0,55,40,15,29,16,5,0,5,8,0,0,108,43,65,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 818, Atchison County, Kansas",170,89,44,33,20,27,12,12,109,109,18,109,109,109,18,109,109,109,36,109,20,20,109,29,109,109,109,109,109,60,109,60,109,45,37,109,24,113,77,109,109,109,24,109,109,24,38,109,109,38,109,60,57,19,32,26,10,109,10,12,109,109,74,63,44,109,109,109,109,109,109,109,109
"G20000500818002","2006-2010",,,"Kansas","20","Atchison County","005",,,"081800","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 818, Atchison County, Kansas",420,174,13,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,10,0,0,0,0,0,10,0,30,14,16,34,0,34,0,87,48,19,20,246,63,3,3,0,0,0,0,0,20,0,0,20,0,40,34,6,98,0,19,19,0,14,15,50,54,21,33,0,0,0,0,31,31,0,0,"Block Group 2, Census Tract 818, Atchison County, Kansas",145,64,23,109,109,109,109,109,109,109,23,109,109,23,109,109,109,109,24,109,109,109,109,109,24,109,33,24,23,30,109,30,109,56,44,29,24,104,39,8,8,109,109,109,109,109,21,109,109,21,109,40,39,11,78,109,29,29,109,25,30,67,51,36,36,109,109,109,109,33,33,109,109
